45032558,50,g
45186505,85,g
45230254,85,g
45035590,85,g
45021596,40,g
45023949,140,g
45363722,148,g
45009115,123,g
45005747,113,g
45286899,222,ml
45084768,21,g
45203303,85,g
45226591,138,g
45264282,138,g
45264284,138,g
45268728,20,g
45023141,115,g
45025665,85,g
45062583,113,g
45198354,166,g
45005803,158,g
45273478,170,g
45274979,148,g
45184866,148,g
45032554,50,g
45044167,85,g
45359850,142,g
45033738,28,g
45195736,85,g
45283403,85,g
45182462,182,g
45335798,154,g
45366409,154,g
45181927,154,g
45189051,154,g
45233756,13,g
45267494,128,g
45230275,148,g
45225336,85,g
45225265,85,g
45016313,32,g
45317669,240,ml
45212700,134,g
45012441,40,g
45005182,140,g
45287989,135,g
45182157,111,g
45186581,95,g
45267816,155,g
45372883,98,g
45283648,56,g
45012377,40,g
45108893,85,g
45118159,85,g
45126494,30,g
45180879,1.2,g
45196156,60,g
45203040,85,g
45210123,140,g
45210766,140,g
45212448,50,g
45212537,14,g
45226644,85,g
45231763,140,g
45231769,140,g
45235438,80,g
45272415,85,g
45277075,85,g
45291976,140,g
45344337,83,g
45363472,100,g
45002952,90.72,g
45005107,150,g
45009855,112,g
45019188,71,g
45019194,70,g
45029133,55,g
45035836,112,g
45036551,56,g
45038127,236,g
45038632,112,g
45044020,113,g
45045342,112,g
45051981,112,g
45053482,113,g
45058865,112,g
45058871,112,g
45058898,112,g
45058907,112,g
45092824,112,g
45126334,112,g
45139871,112,g
45139919,112,g
45180969,112,g
45181070,112,g
45181712,113,g
45182083,113,g
45182206,140,g
45182818,112,g
45183165,112,g
45183394,113,g
45184620,113,g
45184784,112,g
45185839,112,g
45185840,112,g
45186943,112,g
45186949,112,g
45200896,168,g
45201668,57,g
45202908,140,g
45211269,84,g
45212398,112,g
45226866,112,g
45229588,56,g
45257965,298,g
45274291,85,g
45281339,113,g
45290295,112,g
45346631,112,g
45353041,140,g
45366276,112,g
45366449,112,g
45366755,112,g
45367816,112,g
45373476,85,g
